diffSecs,level,azimuth.mean,azimuth.absolute.deviation,azimuth.standard.deviation,azimuth.max.deviation,pitch.mean,pitch.absolute.deviation,pitch.standard.deviation,pitch.max.deviation,roll.mean,roll.absolute.deviation,roll.standard.deviation,roll.max.deviation,time
0,50,49.32400131,4.191679955,7.786798,40.42399979,27.53000069,1.269600034,2.379264593,12.43000031,-77.80999756,4.99119997,9.337992668,48.70999908,12/20/2011 11:53
1.010254979,44,51.78181839,0.294214666,0.354370564,0.781818926,28.26136398,0.123966984,0.159852087,0.438636601,-80.70454407,0.142768651,0.194182575,0.495457202,12/20/2011 11:53
1.006366611,39,51.54102707,0.18658784,0.226135522,0.458973527,28.32820511,0.098487273,0.115355745,0.271794826,-80.74871826,0.11900045,0.144775391,0.351278633,12/20/2011 11:53
1.017279983,47,51.33191681,0.135898948,0.175167158,0.368085504,28.2489357,0.126663595,0.154192895,0.348936945,-80.71702576,0.085559413,0.103799522,0.217023328,12/20/2011 11:53
1.001626611,34,51.52941132,0.333564222,0.42532298,0.829412103,28.21176529,0.10207618,0.123108566,0.21176523,-80.67941284,0.082008839,0.107866667,0.279412895,12/20/2011 11:53
1.003430009,38,51.81842041,0.410249352,0.470081329,0.818422019,28.25,0.134210542,0.166622803,0.350000829,-80.66316223,0.094739214,0.108632021,0.236842304,12/20/2011 11:53
1.01458168,48,51.40625,0.277083158,0.310514241,0.593749285,28.26875114,0.088020802,0.108313121,0.268750638,-80.75624847,0.097396068,0.115301318,0.25625214,12/20/2011 11:53
1.005796671,39,51.34871674,0.154898539,0.2098497,0.551283002,28.28205109,0.090598248,0.115184806,0.282051772,-80.71538544,0.082840055,0.114441127,0.284612805,12/20/2011 11:53
1.002098322,39,51.47948837,0.243523762,0.283909738,0.620514333,28.18717957,0.092702411,0.118060291,0.312819958,-80.73077393,0.097830646,0.113576479,0.230771184,12/20/2011 11:53
1.090861678,44,51.57045364,0.271797627,0.312307745,0.670453668,28.18409157,0.092252314,0.112700872,0.21590814,-80.65000153,0.109092936,0.135681108,0.449997634,12/20/2011 11:53
